"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2015,40,12029,84,43,1.05578,0.698312,0.357469
National,X,2015,41,13111,116,54,1.29662,0.884753,0.411868
National,X,2015,42,13441,97,52,1.10855,0.721672,0.386876
National,X,2015,43,13537,98,52,1.10807,0.723942,0.384132
National,X,2015,44,14687,97,68,1.12344,0.660448,0.462994
National,X,2015,45,15048,122,86,1.38224,0.810739,0.571505
National,X,2015,46,15250,84,98,1.19344,0.55082,0.642623
National,X,2015,47,15234,119,92,1.38506,0.781147,0.603912
National,X,2015,48,16201,145,81,1.39498,0.895006,0.499969
National,X,2015,49,16673,140,106,1.47544,0.839681,0.635758
National,X,2015,50,17358,244,192,2.51181,1.40569,1.10612
National,X,2015,51,16878,220,166,2.287,1.30347,0.983529
National,X,2015,52,18865,264,200,2.45958,1.39942,1.06016
National,X,2016,1,19786,396,184,2.93137,2.00142,0.92995
National,X,2016,2,18689,571,224,4.25384,3.05527,1.19857
National,X,2016,3,18798,716,315,5.48463,3.80892,1.67571
National,X,2016,4,20791,1035,412,6.95974,4.97812,1.98163
National,X,2016,5,22261,1572,587,9.69858,7.06168,2.6369
National,X,2016,6,24934,2265,864,12.5491,9.08398,3.46515
National,X,2016,7,27208,3135,1092,15.5359,11.5223,4.01353
National,X,2016,8,30966,4410,1276,18.3621,14.2414,4.12065
National,X,2016,9,33880,5523,1629,21.1098,16.3017,4.80815
National,X,2016,10,36781,6679,2018,23.6454,18.1588,5.48653
National,X,2016,11,34233,5047,1790,19.972,14.7431,5.22887
National,X,2016,12,30161,3919,1652,18.4709,12.9936,5.47727
National,X,2016,13,27603,2965,1514,16.2265,10.7416,5.48491
National,X,2016,14,23979,1971,1390,14.0164,8.21969,5.79674
National,X,2016,15,21683,1506,1364,13.2362,6.94553,6.29064
National,X,2016,16,19860,1123,1329,12.3464,5.65458,6.69184
National,X,2016,17,17970,701,1143,10.2615,3.90095,6.3606
National,X,2016,18,15380,427,822,8.12094,2.77633,5.3446
National,X,2016,19,14090,280,662,6.68559,1.98722,4.69837
National,X,2016,20,12545,224,505,5.81108,1.78557,4.02551
National,X,2016,21,11591,139,408,4.71918,1.19921,3.51997
National,X,2016,22,10067,82,226,3.0595,0.814543,2.24496
National,X,2016,23,9172,70,207,3.02006,0.763192,2.25687
National,X,2016,24,8364,59,94,1.82927,0.705404,1.12386
National,X,2016,25,7417,44,83,1.71228,0.593232,1.11905
National,X,2016,26,6298,26,51,1.22261,0.412829,0.809781
National,X,2016,27,5978,24,30,0.903312,0.401472,0.50184
National,X,2016,28,6328,24,31,0.869153,0.379267,0.489886
National,X,2016,29,5888,24,26,0.849185,0.407609,0.441576
National,X,2016,30,5756,20,25,0.781793,0.347464,0.434329
National,X,2016,31,5675,33,20,0.933921,0.581498,0.352423
National,X,2016,32,5773,22,30,0.900745,0.381084,0.51966
National,X,2016,33,5974,27,21,0.803482,0.451958,0.351523
National,X,2016,34,6264,63,25,1.40485,1.00575,0.399106
National,X,2016,35,7093,78,41,1.67771,1.09968,0.578035
National,X,2016,36,7732,57,56,1.46146,0.737196,0.724263
National,X,2016,37,8727,74,58,1.51255,0.847943,0.664604
National,X,2016,38,9418,97,67,1.74135,1.02994,0.711404
National,X,2016,39,10596,106,83,1.78369,1.00038,0.783314
National,X,2016,40,13309,121,89,1.57788,0.909159,0.66872
National,X,2016,41,13965,108,83,1.3677,0.773362,0.594343
National,X,2016,42,14670,114,95,1.42468,0.777096,0.64758
National,X,2016,43,14945,139,86,1.50552,0.930077,0.575443
National,X,2016,44,16219,198,116,1.936,1.22079,0.715211
National,X,2016,45,17301,264,121,2.2253,1.52592,0.699382
National,X,2016,46,18422,338,140,2.59472,1.83476,0.759961
National,X,2016,47,17970,441,166,3.37785,2.45409,0.923762
National,X,2016,48,20927,505,178,3.26373,2.41315,0.850576
National,X,2016,49,19962,678,178,4.28815,3.39645,0.891694
National,X,2016,50,22863,1326,202,6.68329,5.79976,0.883524
National,X,2016,51,25932,2408,330,10.5584,9.28582,1.27256
National,X,2016,52,31702,3911,375,13.5197,12.3368,1.18289
National,X,2017,1,33999,4087,373,13.118,12.0209,1.09709
National,X,2017,2,33424,4543,436,14.8965,13.592,1.30445
National,X,2017,3,34905,5538,607,17.6049,15.8659,1.73901
National,X,2017,4,36975,5922,759,18.069,16.0162,2.05274
National,X,2017,5,39574,7289,1047,21.0643,18.4187,2.64568
National,X,2017,6,46261,9254,1821,23.9403,20.0039,3.93636
National,X,2017,7,48339,9337,2508,24.504,19.3157,5.18836
National,X,2017,8,46446,8580,2885,24.6846,18.4731,6.21151
National,X,2017,9,39706,5524,2351,19.8333,13.9123,5.92102
National,X,2017,10,37234,4548,2730,19.5467,12.2146,7.33201
National,X,2017,11,35431,3738,3085,19.2571,10.5501,8.70706
National,X,2017,12,33704,3169,3627,20.1638,9.40244,10.7613
National,X,2017,13,31379,2290,3531,18.5506,7.29787,11.2527
National,X,2017,14,28067,1418,2905,15.4024,5.0522,10.3502
National,X,2017,15,24434,890,2219,12.7241,3.64247,9.08161
National,X,2017,16,21632,561,1533,9.6801,2.59338,7.08672
National,X,2017,17,18275,323,932,6.86731,1.76744,5.09986
National,X,2017,18,15672,252,691,6.0171,1.60796,4.40914
National,X,2017,19,14770,231,583,5.51117,1.56398,3.94719
National,X,2017,20,13399,214,460,5.03023,1.59713,3.43309
National,X,2017,21,12353,181,375,4.50093,1.46523,3.0357
National,X,2017,22,11084,171,311,4.34861,1.54276,2.80585
National,X,2017,23,10207,136,228,3.56618,1.33242,2.23376
